timestamp_ms,temp,hum,ldr
5026,26.20,71.00,3728
10025,27.10,61.00,3707
15025,27.10,60.00,3663
20025,27.10,60.00,3712
5026,27.10,60.00,3671
10026,27.10,59.00,3677
15025,27.10,58.00,3051
20025,27.10,58.00,3037
25025,27.10,57.00,3042
30025,27.10,57.00,3039
35025,27.10,56.00,3055
40025,27.10,56.00,3045
45025,27.10,55.00,3027
50025,27.10,55.00,3025
55025,27.10,55.00,3026
60025,27.10,55.00,3024
65025,27.10,54.00,3014
70025,27.10,54.00,3014
75025,27.10,54.00,3023
80025,27.10,54.00,3019
85025,27.10,54.00,3025
90025,27.10,54.00,3024
95025,27.10,54.00,3026
100025,27.10,54.00,3025
105026,26.70,54.00,3039
110026,26.70,54.00,3042
115026,26.70,54.00,3026
120026,26.70,54.00,3021
125025,26.70,53.00,3029
130025,26.70,53.00,3040
135025,26.70,53.00,3045
140025,26.70,53.00,3055
145025,26.70,53.00,3051
150025,26.70,53.00,3051
155025,26.70,53.00,3059
160026,26.70,54.00,3056
165026,26.70,54.00,3058
170026,26.70,54.00,3033
175025,26.70,53.00,3040
180025,26.70,53.00,3045
185025,26.70,53.00,3033
190025,26.70,53.00,3041
195025,26.70,53.00,3043
200026,26.70,53.00,3038
205025,26.70,53.00,3046
210025,26.70,53.00,3041
215026,26.70,53.00,3043
220025,26.70,53.00,3038
225025,26.70,53.00,3025
230025,26.70,53.00,3045
235025,26.70,53.00,3034
240025,26.70,53.00,3031
245025,26.70,53.00,3039
250025,26.70,53.00,3027
255025,26.70,53.00,3029
260025,26.70,53.00,3019
265025,26.70,53.00,3527
270025,26.70,53.00,3418
275026,26.70,54.00,3052
280026,26.70,54.00,3024
285026,26.70,54.00,3024
290026,26.70,54.00,3025
295026,26.70,54.00,3025
300026,26.70,54.00,3026
305026,26.70,54.00,3025
310025,26.70,53.00,3030
315025,26.70,53.00,3039
320025,26.70,53.00,3026
325025,26.70,53.00,3035
330025,26.70,53.00,3034
335025,26.70,53.00,3028
340025,26.70,53.00,3040
345025,26.70,53.00,3035
350025,26.70,53.00,3042
355025,26.70,53.00,3031
360025,26.70,53.00,3035
365025,26.70,53.00,3067
370025,26.70,53.00,3061
375025,26.70,53.00,3056
380025,26.70,53.00,3047
385025,26.70,53.00,3049
390025,26.70,53.00,3052
395025,26.70,53.00,3057
400025,26.70,53.00,3058
405025,26.70,53.00,3067
410025,26.70,53.00,3071
415025,26.70,53.00,3069
420025,26.70,53.00,3082
425025,26.70,53.00,3060
430025,26.70,53.00,3063
435025,26.70,53.00,3061
440025,26.70,53.00,3087
445025,26.70,53.00,3065
450025,26.70,53.00,3062
455025,26.70,53.00,3085
460025,26.70,53.00,3084
465025,26.70,53.00,3061
470025,26.70,53.00,3042
475025,26.70,53.00,3042
480025,26.70,53.00,3049
485025,26.70,53.00,3056
490025,26.70,53.00,3042
495025,26.70,53.00,3058
500025,26.70,53.00,3054
505025,26.70,53.00,3067
510025,26.70,53.00,3061
515025,26.70,53.00,3062
520025,26.70,53.00,3060
525025,26.70,53.00,3050
530025,26.70,53.00,3061
535025,26.70,53.00,3057
540025,26.70,53.00,3049
545025,26.70,53.00,3066
550025,26.70,53.00,3065
555025,26.70,53.00,3059
560025,26.70,53.00,3057
565025,26.70,53.00,3054
570025,26.70,53.00,3062
575025,26.70,53.00,3792
580025,26.70,53.00,4095
585025,26.70,55.00,4095
590026,26.70,59.00,4095
595025,26.70,64.00,4095
600025,27.10,69.00,4095
605025,27.10,73.00,4095
610025,27.60,76.00,3121
615025,27.60,74.00,3115
620025,27.60,72.00,3152
625025,27.60,69.00,3133
630025,27.60,67.00,3125
635025,27.60,64.00,3117
640026,27.60,62.00,3137
645026,27.60,60.00,3141
650026,27.60,59.00,3126
655026,27.60,58.00,3130
660025,27.20,57.00,3133
665025,27.10,56.00,3130
670025,27.10,56.00,3137
675025,27.10,55.00,3135
680025,27.10,55.00,3125
685025,27.10,54.00,3120
690025,27.10,54.00,3115
695025,27.10,54.00,3117
700025,27.10,54.00,3101
705025,27.10,54.00,3108
710025,27.10,54.00,3117
715025,27.10,54.00,3117
720025,27.10,53.00,3109
725025,27.10,53.00,3122
730025,27.10,53.00,3124
735025,27.10,53.00,3110
740025,27.10,53.00,3103
745025,27.10,53.00,3102
750025,27.10,53.00,3115
755025,27.10,53.00,3113
760025,27.10,53.00,3136
765025,27.10,53.00,3132
770025,27.00,53.00,3216
775025,26.70,53.00,3237
780025,26.70,53.00,3152
785025,26.70,53.00,3136
790025,26.70,53.00,3141
795025,26.70,53.00,3146
800025,26.70,53.00,3143
805025,26.70,53.00,3142
810025,26.70,53.00,3135
815025,26.70,53.00,3130
820025,26.70,53.00,3121
825025,26.70,53.00,3131
830025,26.70,53.00,3129
835025,26.70,53.00,3136
840025,26.70,53.00,3140
845025,26.70,53.00,3139
850025,26.70,53.00,3136
855025,26.70,53.00,3131
860025,26.70,53.00,3138
865025,26.70,53.00,3134
870025,26.70,53.00,3127
875025,26.70,53.00,3123
880025,26.70,53.00,3139
885025,26.70,53.00,3128
890025,26.70,53.00,3127
895025,26.70,53.00,3127
900025,26.70,53.00,3126
905025,26.70,53.00,3142
910025,26.70,53.00,3134
915025,26.70,53.00,3139
920025,26.70,53.00,3142
925025,26.70,53.00,3120
930025,26.70,53.00,3143
935025,26.70,53.00,3136
940025,26.70,53.00,3138
945025,26.70,53.00,3143
950025,26.70,53.00,3151
955025,26.70,53.00,3153
960025,26.70,53.00,3150
965025,26.70,53.00,3140
970025,26.70,53.00,3137
975025,26.70,53.00,3139
980025,26.70,53.00,3149
985025,26.70,53.00,3143
990025,26.70,53.00,3138
995025,26.70,53.00,3145
1000025,26.70,53.00,3166
1005025,26.70,53.00,3159
1010025,26.70,53.00,3165
1015025,26.70,53.00,3158
1020025,26.70,53.00,3162
1025025,26.70,53.00,3159
1030025,26.70,53.00,3163
1035025,26.70,53.00,3167
1040025,26.70,53.00,3170
1045025,26.70,53.00,3152
1050025,26.70,53.00,3151
1055025,26.70,53.00,3157
1060025,26.70,53.00,3163
1065025,26.70,53.00,3156
1070025,26.70,53.00,3141
1075025,26.70,53.00,3151
1080025,26.70,53.00,3136
1085025,26.70,53.00,3141
1090025,26.70,53.00,3152
1095025,26.70,53.00,3136
1100025,26.70,53.00,3136
1105025,26.70,53.00,3141
1110025,26.70,53.00,3136
1115025,26.70,53.00,3147
1120025,26.70,53.00,3152
1125025,26.70,53.00,3155
1130025,26.70,53.00,3152
1135025,26.70,53.00,3159
1140025,26.70,53.00,3155
1145025,26.70,53.00,3156
1150025,26.70,53.00,3155
1155025,26.70,53.00,3160
1160025,26.70,53.00,3152
1165025,26.70,53.00,3155
1170025,26.70,53.00,3157
1175025,26.70,53.00,3153
1180025,26.70,53.00,3152
1185025,26.70,53.00,3152
1190025,26.70,53.00,3150
1195025,26.70,53.00,3150
1200025,26.70,53.00,3151
1205025,26.70,53.00,3153
1210025,26.70,53.00,3152
1215025,26.70,53.00,3892
1220025,26.70,53.00,3947
1225026,26.70,54.00,3627
1230026,26.70,54.00,3664
1235025,26.70,55.00,3942
1240026,26.70,58.00,1946
1245025,27.10,60.00,2342
1250025,27.10,62.00,2512
1255026,27.10,63.00,2993
1260026,27.60,62.00,2715
1265026,27.60,61.00,2874
1270026,27.60,59.00,2881
1275026,27.60,58.00,2887
1280025,27.60,57.00,2891
1285025,27.60,56.00,2500
1290025,27.60,55.00,2853
1295025,27.20,56.00,2495
1300025,27.60,56.00,2690
1305025,27.60,56.00,3055
1310025,27.60,56.00,3141
1315025,27.60,56.00,2785
1320025,27.60,56.00,3487
1325025,27.60,56.00,3113
1330025,27.60,57.00,2404
1335025,27.60,57.00,3602
1340025,27.60,56.00,2463
1345025,27.60,56.00,3091
1350025,27.60,56.00,4095
1355025,27.60,56.00,2912
1360025,27.60,55.00,3793
1365026,27.60,54.00,3529
1370026,27.60,54.00,3536
1375025,27.60,53.00,3531
1380025,27.60,53.00,3541
1385025,27.60,53.00,3495
1390025,27.40,52.00,3728
1395025,27.10,52.00,3731
1400025,27.10,52.00,3745
1405025,27.10,52.00,3751
1410025,27.10,52.00,3785
1415025,27.10,52.00,3755
1420025,27.10,52.00,3760
1425025,26.70,52.00,3757
1430025,26.70,52.00,3751
1435025,26.70,52.00,3758
1440025,26.70,52.00,3756
1445025,26.70,52.00,3760
1450025,26.70,52.00,3755
1455025,26.70,52.00,3751
1460025,26.70,52.00,3757
1465025,26.30,52.00,3772
1470025,26.20,52.00,3752
1475025,26.20,52.00,3757
1480025,26.20,52.00,3760
1485025,26.20,52.00,3750
1490025,26.20,52.00,3758
1495025,26.20,52.00,3758
1500025,26.20,52.00,3752
1505025,26.20,52.00,3774
1510025,26.20,52.00,3869
1515025,26.20,53.00,3878
1520025,26.20,53.00,3874
1525025,26.20,53.00,3905
1530025,26.20,53.00,3827
1535025,26.20,54.00,3781
1540025,26.20,54.00,3849
1545025,26.20,55.00,3870
1550025,26.20,57.00,3873
1555025,26.20,56.00,3869
1560025,26.30,55.00,3879
1565025,26.70,55.00,3755
1570026,26.70,54.00,3706
1575025,26.30,54.00,3655
1580025,26.20,54.00,3722
1585025,26.20,53.00,3774
1590025,26.20,54.00,3774
1595025,26.20,53.00,3780
1600025,26.20,53.00,3774
1605025,26.20,53.00,3763
1610025,26.20,53.00,3755
1615025,26.20,53.00,3760
1620025,26.20,53.00,3765
1625025,26.20,53.00,3767
1630025,26.20,53.00,3755
1635025,26.20,53.00,3770
1640025,26.20,53.00,3760
1645025,26.20,53.00,3771
1650025,26.20,53.00,3651
1655025,26.20,53.00,3610
1660025,26.20,52.00,3618
1665025,26.20,52.00,3618
1670025,26.20,52.00,3622
1675025,26.20,52.00,3617
1680025,26.20,52.00,3629
1685025,26.20,52.00,4016
1690025,26.20,52.00,4033
1695025,26.20,53.00,3804
1700025,26.20,53.00,3785
5026,26.20,53.00,3595
10025,25.80,53.00,3583
15025,25.80,53.00,3613
20025,25.80,53.00,3665
5026,25.80,53.00,3630
10025,25.80,53.00,3598
15025,25.80,53.00,3583
20025,25.80,53.00,3606
25025,25.80,53.00,3600
30025,25.80,53.00,3601
35025,25.80,53.00,3598
40025,25.80,53.00,3641
45025,25.80,53.00,3603
50025,25.80,53.00,3609
55025,25.80,53.00,3611
60025,25.80,53.00,3612
65025,25.80,53.00,3609
70025,25.80,53.00,3613
75025,25.80,53.00,3605
80025,25.80,53.00,3615
85025,25.80,53.00,3610
90025,25.80,53.00,3611
95025,25.80,53.00,3615
100025,25.80,53.00,3623
105025,25.80,53.00,3610
110025,25.80,53.00,3622
115025,25.80,53.00,3631
120025,25.80,53.00,3632
125025,25.80,53.00,3599
130025,25.80,53.00,3619
135025,25.80,53.00,3614
140025,25.80,53.00,3612
145025,25.80,53.00,3614
150025,25.80,53.00,3605
155025,25.80,53.00,3608
160025,25.80,53.00,3583
165025,25.80,53.00,3600
170025,25.80,53.00,3597
175025,25.80,53.00,3613
180025,25.80,53.00,3607
185025,25.80,53.00,3610
190025,25.80,53.00,3609
195025,25.80,53.00,3611
200025,25.80,53.00,3602
205025,25.80,53.00,3619
210025,25.80,53.00,3615
215025,25.80,53.00,3617
220025,25.80,53.00,3606
225025,25.80,53.00,3619
230025,25.80,53.00,3657
235025,25.80,53.00,3675
240025,25.80,53.00,3715
245025,25.80,53.00,3757
250025,25.80,53.00,3760
255025,25.80,53.00,3758
